"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"46" ,5.421,5.462,5.501,16.34,36.23,31.92,54.18,2.45,0.080,0.031,53.17,51.60,5.421,5.429,5.502,5.510,51.60,51.60,1.03,67.94,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"47" ,5.505,5.592,5.622,9.53,34.49,30.39,31.58,2.33,0.117,0.067,51.60,51.60,5.502,5.510,5.632,5.641,51.60,51.60,0.29,61.13,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"48" ,5.694,5.730,5.759,6.08,11.30,9.96,20.17,0.76,0.065,0.031,47.04,47.14,5.689,5.698,5.755,5.763,47.04,47.14,0.71,53.18,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"49" ,5.804,5.828,5.843,7.89,9.90,8.72,26.17,0.67,0.038,0.027,51.76,53.02,5.755,5.763,5.844,5.853,51.76,53.02,0.65,60.44,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"50" ,5.848,5.877,5.927,11.43,21.70,19.13,37.88,1.47,0.078,0.027,53.21,57.15,5.844,5.853,5.918,5.918,53.21,55.78,1.70,65.59,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"51" ,5.927,5.935,5.949,4.84,3.10,2.73,16.04,0.21,0.022,0.012,57.15,56.51,5.918,5.918,5.968,5.976,55.78,56.51,0.84,60.89,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"52" ,6.060,6.132,6.191,14.14,55.08,48.54,46.87,3.72,0.131,0.072,60.16,64.45,6.009,6.017,6.198,6.206,60.16,64.45,0.89,76.67,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"53" ,6.240,6.256,6.267,2.98,2.19,1.93,9.87,0.15,0.026,0.016,70.40,70.30,6.198,6.206,6.321,6.330,70.40,70.30,0.70,73.32,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"54" ,6.349,6.363,6.373,3.55,2.50,2.20,11.77,0.17,0.024,0.015,69.97,69.88,6.321,6.330,6.404,6.413,69.97,69.88,0.63,73.47,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"55" ,6.488,6.579,6.612,24.38,113.49,100.00,80.83,7.67,0.124,0.089,70.12,81.65,6.479,6.479,6.603,6.612,67.51,67.51,0.33,91.88,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"56" ,6.612,6.620,6.653,17.82,36.84,32.47,59.08,2.49,0.041,0.049,81.65,76.07,6.603,6.612,6.653,6.661,67.51,67.51,2.50,85.33,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"57" ,6.653,6.686,6.741,17.50,44.40,39.12,58.03,3.00,0.088,0.039,76.07,68.42,6.653,6.661,6.819,6.827,68.76,68.42,0.99,86.13,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"58" ,6.830,6.844,6.861,1.81,1.32,1.16,5.99,0.09,0.031,0.014,52.48,52.27,6.819,6.827,6.893,6.902,52.48,52.27,0.61,54.20,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"59" ,6.926,6.943,7.026,1.81,9.50,8.37,6.00,0.64,0.099,0.081,49.82,46.92,6.893,6.902,7.034,7.051,49.82,46.92,1.68,51.15,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"60" ,7.160,7.183,7.209,2.30,2.55,2.24,7.62,0.17,0.049,0.027,50.23,49.89,7.117,7.134,7.233,7.241,50.23,49.89,0.67,52.37,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"61" ,7.249,7.291,7.299,1.04,1.50,1.32,3.44,0.10,0.050,0.033,47.36,47.35,7.233,7.241,7.324,7.332,47.36,47.35,0.23,48.39,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"62" ,7.432,7.465,7.473,1.20,1.69,1.49,3.98,0.11,0.041,0.026,46.87,46.79,7.391,7.407,7.498,7.507,46.87,46.79,0.23,48.00,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"63" ,7.651,7.681,7.755,2.34,5.63,4.96,7.75,0.38,0.104,0.029,46.87,46.29,7.639,7.639,7.747,7.755,46.87,46.16,1.81,49.01,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"64" ,7.755,7.789,7.880,4.97,14.97,13.19,16.47,1.01,0.124,0.048,46.29,46.09,7.747,7.755,7.872,7.880,46.16,45.31,1.78,50.90,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"65" ,7.880,7.913,7.971,1.41,7.31,6.44,4.68,0.49,0.091,0.075,46.09,46.08,7.872,7.880,7.938,7.946,45.31,44.69,0.80,46.50,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"66" ,7.971,7.979,7.988,4.03,1.93,1.70,13.36,0.13,0.017,0.008,46.08,46.16,7.938,7.946,7.988,7.988,46.31,46.23,1.02,50.30,,,  ,393.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (509.0 -> 377.0) 06_WT-tRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"1" ,0.043,0.075,0.141,4.28,9.22,3.46,4.93,0.69,0.098,0.032,46.17,45.89,0.034,0.043,0.141,0.149,45.80,45.80,1.19,50.08,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"2" ,0.149,0.182,0.239,1.48,3.08,1.16,1.71,0.23,0.090,0.031,45.85,45.89,0.141,0.149,0.256,0.305,45.80,45.80,1.03,47.28,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"3" ,0.305,0.338,0.346,5.62,8.19,3.08,6.47,0.61,0.041,0.031,45.82,47.83,0.256,0.305,0.346,0.354,45.82,45.82,0.53,51.44,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"4" ,0.346,0.378,0.460,7.06,17.17,6.45,8.13,1.28,0.114,0.038,47.83,45.84,0.346,0.354,0.476,0.534,45.82,45.83,1.23,52.88,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"5" ,0.534,0.566,0.583,2.19,3.52,1.32,2.52,0.26,0.049,0.031,45.83,46.44,0.476,0.534,0.574,0.583,45.83,45.83,0.53,48.02,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"6" ,0.583,0.632,0.786,86.78,266.10,100.00,100.00,19.83,0.204,0.043,46.44,45.90,0.574,0.583,0.778,0.803,45.83,45.84,1.61,132.61,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"7" ,0.803,0.835,0.941,7.62,17.80,6.69,8.78,1.33,0.139,0.033,45.87,45.96,0.778,0.803,1.071,1.104,45.84,45.85,1.64,53.46,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"8" ,1.154,1.193,1.259,9.01,27.14,10.20,10.38,2.02,0.105,0.045,45.85,47.25,1.137,1.153,1.250,1.259,45.85,45.86,2.12,54.87,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"9" ,1.259,1.291,1.356,6.75,15.11,5.68,7.78,1.13,0.098,0.034,47.25,46.00,1.250,1.259,1.389,1.430,45.86,45.86,0.92,52.61,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"10" ,1.430,1.462,1.535,5.32,10.64,4.00,6.12,0.79,0.106,0.030,45.86,45.95,1.389,1.430,1.535,1.592,45.86,45.87,1.39,51.18,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"11" ,1.560,1.649,1.698,11.38,26.47,9.95,13.12,1.97,0.138,0.033,45.90,46.54,1.535,1.592,1.690,1.698,45.87,45.87,0.80,57.25,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"12" ,1.698,1.731,1.788,10.25,21.56,8.10,11.81,1.61,0.090,0.032,46.54,46.20,1.690,1.698,1.779,1.788,45.87,45.88,1.16,56.13,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"13" ,1.788,1.820,1.894,4.90,11.16,4.19,5.64,0.83,0.106,0.030,46.20,45.98,1.779,1.788,1.886,1.902,45.88,45.88,1.43,50.78,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"14" ,1.902,1.935,1.992,1.62,3.25,1.22,1.87,0.24,0.090,0.031,45.93,45.89,1.886,1.902,1.992,2.025,45.88,45.89,1.04,47.51,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"15" ,2.025,2.058,2.123,7.22,13.74,5.16,8.32,1.02,0.099,0.031,45.89,45.92,1.992,2.025,2.132,2.156,45.89,45.89,1.07,53.11,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"16" ,2.157,2.189,2.239,4.81,9.22,3.46,5.54,0.69,0.082,0.031,45.89,46.14,2.132,2.156,2.230,2.239,45.89,45.90,1.18,50.70,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"17" ,2.239,2.272,2.323,1.63,3.31,1.24,1.88,0.25,0.084,0.032,46.14,45.90,2.230,2.239,2.329,2.362,45.90,45.90,0.70,47.52,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"18" ,2.362,2.395,2.452,3.50,6.42,2.41,4.04,0.48,0.090,0.030,45.90,45.90,2.329,2.362,2.461,2.543,45.90,45.90,1.02,49.41,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"19" ,2.544,2.576,2.584,2.28,3.27,1.23,2.62,0.24,0.040,0.030,45.90,46.65,2.461,2.543,2.584,2.592,45.90,45.91,0.54,48.18,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"20" ,2.584,2.617,2.683,7.46,20.51,7.71,8.60,1.53,0.099,0.036,46.65,46.66,2.584,2.592,2.683,2.732,45.91,45.91,3.50,53.37,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"21" ,2.683,2.748,2.798,1.12,4.67,1.76,1.29,0.35,0.115,0.072,46.66,45.93,2.683,2.732,2.781,2.822,45.91,45.91,0.47,47.03,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"22" ,2.798,2.855,2.916,2.03,4.27,1.60,2.34,0.32,0.119,0.031,45.93,45.92,2.781,2.822,2.921,3.011,45.91,45.92,1.26,47.94,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"23" ,3.018,3.076,3.134,6.15,14.62,5.49,7.09,1.09,0.116,0.034,45.93,46.24,2.921,3.011,3.125,3.134,45.93,45.93,0.79,52.08,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"24" ,3.134,3.166,3.215,1.29,3.31,1.24,1.49,0.25,0.082,0.035,46.24,46.23,3.125,3.134,3.199,3.215,45.93,45.93,1.20,47.22,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"25" ,3.215,3.248,3.330,5.98,14.09,5.30,6.90,1.05,0.115,0.032,46.23,46.27,3.199,3.215,3.355,3.387,45.93,45.93,1.67,51.91,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"26" ,3.379,3.420,3.469,3.65,7.97,3.00,4.20,0.59,0.090,0.032,46.13,46.26,3.355,3.387,3.461,3.469,45.93,45.93,1.41,49.58,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"27" ,3.469,3.502,3.535,10.72,22.78,8.56,12.35,1.70,0.065,0.033,46.26,48.34,3.461,3.469,3.535,3.543,45.93,45.94,1.34,56.65,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"28" ,3.535,3.567,3.625,3.73,10.80,4.06,4.30,0.80,0.090,0.041,48.34,46.42,3.535,3.543,3.625,3.633,45.94,45.94,2.00,49.67,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"29" ,3.633,3.665,3.786,9.24,22.12,8.31,10.65,1.65,0.153,0.037,46.31,45.94,3.625,3.633,3.780,3.829,45.94,45.94,1.51,55.18,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"30" ,3.817,3.861,3.918,14.62,29.84,11.22,16.85,2.22,0.101,0.031,45.94,46.39,3.780,3.829,3.910,3.918,45.94,45.94,1.17,60.56,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"31" ,3.918,3.951,4.016,6.59,14.23,5.35,7.59,1.06,0.098,0.032,46.39,46.02,3.910,3.918,4.170,4.211,45.94,45.95,1.25,52.53,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"32" ,4.331,4.382,4.455,1.39,3.27,1.23,1.60,0.24,0.124,0.031,45.96,46.09,4.268,4.349,4.511,4.552,45.96,45.96,2.05,47.35,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"33" ,4.674,4.706,4.771,5.60,10.84,4.07,6.45,0.81,0.097,0.031,45.99,46.13,4.584,4.609,4.803,4.820,45.99,46.00,1.16,51.59,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"34" ,4.820,4.852,4.917,7.75,14.71,5.53,8.94,1.10,0.097,0.030,46.00,46.09,4.803,4.820,4.949,4.998,46.00,46.01,1.16,53.76,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"35" ,5.080,5.112,5.161,7.64,14.09,5.29,8.80,1.05,0.081,0.030,46.02,46.24,4.949,4.998,5.153,5.161,46.02,46.03,1.04,53.66,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"36" ,5.162,5.193,5.206,4.21,5.91,2.22,4.85,0.44,0.044,0.024,46.54,47.76,5.153,5.161,5.201,5.210,46.54,47.76,0.41,51.62,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"37" ,5.210,5.242,5.340,18.03,49.19,18.49,20.78,3.67,0.130,0.043,47.59,46.13,5.201,5.210,5.332,5.340,46.03,46.04,1.72,64.06,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"38" ,5.356,5.372,5.397,13.32,20.20,7.59,15.35,1.51,0.041,0.029,53.53,53.56,5.332,5.340,5.413,5.413,53.53,53.56,1.55,66.86,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"39" ,5.421,5.470,5.494,17.91,42.19,15.85,20.64,3.14,0.073,0.037,51.56,53.32,5.413,5.413,5.511,5.519,51.56,53.32,0.52,70.65,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"40" ,5.559,5.584,5.637,16.30,37.41,14.06,18.78,2.79,0.078,0.037,55.98,50.41,5.559,5.568,5.633,5.641,50.06,50.41,1.55,66.47,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"41" ,5.657,5.690,5.714,18.68,35.39,13.30,21.52,2.64,0.057,0.034,54.60,55.65,5.633,5.641,5.722,5.730,54.60,55.65,0.81,73.87,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"42" ,5.737,5.763,5.804,7.59,9.20,3.46,8.75,0.69,0.067,0.020,58.08,57.06,5.722,5.730,5.771,5.779,58.08,58.81,0.31,65.96,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"43" ,5.804,5.820,5.845,6.38,8.19,3.08,7.35,0.61,0.041,0.019,57.06,52.12,5.771,5.779,5.869,5.878,57.06,52.12,0.37,61.46,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"44" ,5.882,5.935,5.951,5.16,10.31,3.87,5.94,0.77,0.069,0.031,49.01,50.17,5.869,5.878,5.952,5.960,49.01,50.17,0.36,55.06,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"45" ,5.955,5.993,6.025,6.70,13.25,4.98,7.72,0.99,0.070,0.045,50.26,52.20,5.952,5.960,6.026,6.034,50.26,52.20,1.40,58.00,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"46" ,6.042,6.075,6.100,15.45,32.08,12.05,17.80,2.39,0.058,0.033,53.39,60.28,6.026,6.034,6.108,6.116,53.39,60.28,1.71,72.78,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"47" ,6.116,6.157,6.227,22.81,72.98,27.42,26.29,5.44,0.112,0.056,59.21,56.16,6.108,6.116,6.223,6.231,59.21,56.16,1.28,80.89,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"48" ,6.281,6.339,6.372,23.44,62.67,23.55,27.02,4.67,0.091,0.047,63.96,65.88,6.223,6.231,6.372,6.380,63.96,64.26,0.69,87.60,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"49" ,6.372,6.405,6.455,8.54,24.13,9.07,9.84,1.80,0.083,0.042,65.88,64.80,6.372,6.380,6.446,6.455,64.26,64.54,1.45,72.91,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"50" ,6.455,6.530,6.588,23.55,122.39,45.99,27.14,9.12,0.133,0.106,64.80,79.28,6.446,6.455,6.588,6.596,64.54,64.97,0.99,88.34,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"51" ,6.588,6.604,6.654,22.74,59.11,22.21,26.21,4.41,0.066,0.046,79.28,70.79,6.588,6.596,6.646,6.646,64.97,65.19,2.50,87.77,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"52" ,6.654,6.671,6.696,10.13,18.96,7.12,11.68,1.41,0.042,0.045,70.79,65.33,6.646,6.646,6.712,6.712,65.19,65.33,0.96,75.38,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"53" ,6.720,6.729,6.795,6.56,13.93,5.24,7.56,1.04,0.075,0.033,63.31,52.79,6.712,6.712,6.919,6.936,63.31,52.79,1.65,68.70,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"54" ,7.217,7.250,7.292,2.91,6.49,2.44,3.35,0.48,0.075,0.034,46.17,46.55,7.176,7.217,7.341,7.367,46.17,46.55,1.41,49.25,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"55" ,7.668,7.723,7.790,3.60,9.35,3.52,4.15,0.70,0.121,0.036,47.16,47.00,7.640,7.665,7.839,7.856,47.16,46.73,0.70,50.57,,,  ,377.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (459.0 -> 327.0) 06_WT-tRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"1" ,0.470,0.550,0.673,85.19,575.18,4.65,2.38,3.49,0.202,0.105,49.12,62.47,0.444,0.452,0.664,0.673,49.12,48.89,1.75,134.22,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"2" ,0.673,0.730,0.836,64.09,368.37,2.98,1.79,2.23,0.163,0.095,62.47,57.53,0.664,0.673,0.827,0.836,48.89,48.71,1.63,112.91,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"3" ,5.446,5.527,5.592,87.14,306.70,2.48,2.43,1.86,0.146,0.043,49.43,57.60,5.429,5.438,5.584,5.592,49.43,49.27,0.80,136.49,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"4" ,5.633,5.698,5.837,3579.37,12359.84,100.00,100.00,74.92,0.204,0.052,76.72,74.24,5.584,5.592,5.837,5.845,49.23,49.01,1.68,3628.52,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"5" ,5.886,5.977,6.010,88.73,426.44,3.45,2.48,2.58,0.123,0.079,66.94,118.85,5.886,5.894,6.001,6.010,48.95,48.82,0.36,137.58,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"6" ,6.010,6.034,6.092,86.55,322.66,2.61,2.42,1.96,0.082,0.073,118.85,90.74,6.001,6.010,6.084,6.084,48.82,48.73,1.50,135.34,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"7" ,6.133,6.166,6.182,63.03,165.34,1.34,1.76,1.00,0.050,0.066,88.26,97.79,6.125,6.133,6.182,6.191,48.68,48.63,0.60,111.67,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"8" ,6.182,6.215,6.240,65.49,193.01,1.56,1.83,1.17,0.058,0.066,97.79,91.63,6.182,6.191,6.240,6.248,48.63,48.56,1.00,114.08,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\06_WT-tRNA.d" ,"9" ,6.240,6.298,6.339,66.03,328.75,2.66,1.84,1.99,0.099,0.099,91.63,92.72,6.240,6.248,6.331,6.339,48.56,48.46,0.72,114.53,,,  ,327.0,,,,,,,,,,,
