"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"4" ,0.559,0.576,0.591,3.36,4.67,1.64,11.39,0.75,0.032,0.029,0.95,1.63,0.553,0.564,0.586,0.594,-0.21,-0.17,0.77,3.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"5" ,0.591,0.609,0.664,29.49,43.63,15.34,100.00,7.00,0.072,0.020,1.63,0.01,0.586,0.594,0.660,0.670,-0.17,-0.10,2.71,29.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"6" ,1.168,1.230,1.328,12.38,41.03,14.43,42.00,6.59,0.160,0.051,-0.41,-0.29,1.162,1.168,1.328,1.330,-0.41,-0.29,1.46,12.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"7" ,3.193,3.320,3.510,15.37,96.81,34.04,52.14,15.54,0.317,0.097,-1.12,-1.13,3.185,3.187,3.510,3.512,-1.13,-1.13,1.26,14.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"8" ,3.522,3.612,3.722,15.75,71.75,25.22,53.40,11.52,0.199,0.072,-1.10,-1.37,3.514,3.516,3.728,3.734,-1.10,-1.37,1.12,14.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\47_D6.d" ,"9" ,7.105,7.295,7.505,19.43,284.44,100.00,65.89,45.66,0.400,0.302,-0.43,16.40,7.026,7.029,7.505,7.509,-0.43,16.40,1.75,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d"," DAD1 - B:Sig=260,4  Ref=360,60 48_D7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"1" ,0.406,0.422,0.477,11.28,27.01,9.48,42.71,4.84,0.071,0.038,-0.52,2.60,0.394,0.394,0.460,0.484,-0.52,-0.43,4.07,10.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"2" ,0.477,0.504,0.559,9.57,24.76,8.69,36.26,4.43,0.081,0.038,2.60,0.75,0.460,0.484,0.552,0.565,-0.43,-0.32,1.39,9.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"3" ,0.559,0.576,0.589,2.89,3.96,1.39,10.96,0.71,0.031,0.027,0.75,1.53,0.552,0.565,0.583,0.591,-0.32,-0.29,0.68,2.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"4" ,0.589,0.605,0.657,26.40,36.63,12.86,100.00,6.56,0.067,0.019,1.53,-0.20,0.583,0.591,0.659,0.661,-0.29,-0.20,2.83,26.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"5" ,1.157,1.219,1.314,10.87,35.69,12.53,41.17,6.39,0.157,0.051,-0.40,-0.29,1.150,1.153,1.314,1.316,-0.40,-0.29,1.43,10.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"6" ,3.176,3.301,3.476,13.17,82.79,29.06,49.87,14.83,0.300,0.098,-1.08,-1.06,3.172,3.175,3.488,3.491,-1.08,-1.06,1.23,12.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"7" ,3.504,3.599,3.704,13.45,62.70,22.01,50.95,11.23,0.200,0.073,-1.15,-1.38,3.499,3.504,3.704,3.706,-1.15,-1.38,1.09,12.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\48_D7.d" ,"8" ,7.104,7.296,7.505,19.40,284.88,100.00,73.48,51.02,0.401,0.302,-0.46,16.40,7.026,7.031,7.505,7.509,-0.46,16.40,1.73,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d"," DAD1 - B:Sig=260,4  Ref=360,60 49_D8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"1" ,0.364,0.378,0.391,17.83,18.51,6.50,46.73,2.27,0.028,0.032,-0.50,-26.93,0.354,0.355,0.394,0.394,-0.50,-26.93,0.37,3.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"2" ,0.406,0.422,0.477,11.40,27.78,9.75,29.88,3.41,0.071,0.039,-0.31,2.78,0.394,0.394,0.460,0.484,-0.31,-0.31,4.00,11.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"3" ,0.477,0.503,0.559,10.60,26.44,9.28,27.77,3.24,0.082,0.036,2.78,0.68,0.460,0.484,0.553,0.565,-0.31,-0.31,1.26,10.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"4" ,0.559,0.576,0.589,2.87,3.80,1.33,7.53,0.47,0.030,0.026,0.68,1.64,0.553,0.565,0.582,0.591,-0.31,-0.31,0.61,2.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"5" ,0.589,0.606,0.659,38.15,51.96,18.25,100.00,6.37,0.070,0.019,1.64,0.38,0.582,0.591,0.659,0.674,0.20,0.32,2.81,38.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"6" ,1.159,1.217,1.332,15.39,50.02,17.56,40.33,6.13,0.173,0.050,-0.38,-0.24,1.158,1.159,1.332,1.334,-0.38,-0.24,1.45,15.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"7" ,3.178,3.298,3.491,18.74,117.65,41.31,49.11,14.43,0.313,0.097,-1.03,-0.98,3.176,3.178,3.489,3.494,-1.03,-0.98,1.25,17.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"8" ,3.504,3.595,3.707,18.68,87.33,30.67,48.95,10.71,0.202,0.074,-0.95,-1.27,3.503,3.505,3.719,3.728,-0.97,-1.27,1.11,17.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"9" ,7.104,7.296,7.505,19.44,284.77,100.00,50.96,34.92,0.401,0.301,-0.51,16.44,7.026,7.034,7.505,7.509,-0.51,16.44,1.73,27.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\49_D8.d" ,"10" ,7.506,7.515,8.028,3.49,147.30,51.73,9.15,18.06,0.522,0.092,15.91,2.26,7.505,7.509,8.837,8.840,15.91,1.98,16.50,19.16,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d"," DAD1 - B:Sig=260,4  Ref=360,60 50_D9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"1" ,0.363,0.379,0.393,15.85,17.10,6.03,47.55,2.20,0.030,0.033,-0.68,-22.09,0.354,0.355,0.395,0.396,-0.68,-22.09,0.37,3.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"2" ,0.408,0.425,0.483,9.98,24.76,8.74,29.96,3.18,0.075,0.038,-0.30,1.94,0.395,0.396,0.466,0.489,-0.30,-0.30,3.96,9.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"3" ,0.483,0.510,0.560,9.35,21.85,7.71,28.06,2.81,0.077,0.034,1.94,0.69,0.466,0.489,0.553,0.566,-0.30,-0.30,1.28,9.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"4" ,0.560,0.576,0.589,2.49,3.27,1.15,7.46,0.42,0.030,0.027,0.69,1.23,0.553,0.566,0.583,0.592,-0.30,-0.30,0.65,2.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"5" ,0.589,0.607,0.661,33.32,46.75,16.49,100.00,6.00,0.071,0.019,1.23,0.15,0.583,0.592,0.660,0.671,0.05,0.12,2.81,33.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"6" ,1.162,1.216,1.327,14.69,45.25,15.96,44.09,5.81,0.166,0.047,-0.37,-0.27,1.156,1.158,1.328,1.330,-0.37,-0.27,1.61,14.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"7" ,3.181,3.296,3.496,17.20,107.50,37.93,51.61,13.81,0.315,0.096,-1.03,-1.03,3.179,3.182,3.495,3.499,-1.05,-1.03,1.27,16.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"8" ,3.503,3.597,3.709,16.78,79.50,28.05,50.35,10.21,0.207,0.075,-1.01,-1.31,3.495,3.499,3.719,3.724,-1.01,-1.31,1.10,15.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"9" ,7.108,7.292,7.505,19.52,283.46,100.00,58.57,36.40,0.398,0.302,-0.23,16.39,7.024,7.028,7.505,7.509,-0.23,16.39,1.81,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\50_D9.d" ,"10" ,7.506,7.516,8.033,3.57,149.20,52.64,10.71,19.16,0.527,0.093,15.84,1.92,7.505,7.509,8.845,8.852,15.84,1.79,15.26,19.16,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d"," DAD1 - B:Sig=260,4  Ref=360,60 52_D10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"1" ,0.363,0.379,0.393,18.78,20.69,7.29,55.61,3.01,0.030,0.033,-0.81,-27.46,0.354,0.356,0.395,0.396,-0.81,-27.46,0.38,3.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"2" ,0.409,0.426,0.482,11.00,27.34,9.63,32.57,3.97,0.073,0.039,-0.48,2.16,0.395,0.396,0.466,0.488,-0.48,-0.48,3.74,10.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"3" ,0.482,0.509,0.560,10.68,25.59,9.02,31.63,3.72,0.078,0.035,2.16,0.74,0.466,0.488,0.553,0.566,-0.48,-0.48,1.33,10.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"4" ,0.560,0.578,0.598,2.89,4.61,1.62,8.57,0.67,0.038,0.029,0.74,0.71,0.553,0.566,0.591,0.601,-0.48,-0.48,0.92,2.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"5" ,0.598,0.619,0.704,33.76,56.70,19.98,100.00,8.24,0.106,0.023,0.71,0.37,0.591,0.601,0.752,0.758,-0.31,-0.25,2.62,33.47,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"6" ,1.195,1.254,1.361,16.61,52.94,18.65,49.20,7.69,0.166,0.049,-0.49,-0.32,1.188,1.195,1.360,1.364,-0.49,-0.32,1.56,16.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"7" ,3.253,3.362,3.547,20.18,123.47,43.50,59.78,17.94,0.294,0.095,-1.02,-1.13,3.191,3.194,3.539,3.548,-1.02,-1.16,1.24,19.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"8" ,3.552,3.638,3.740,21.49,92.97,32.76,63.64,13.51,0.188,0.068,-1.12,-1.25,3.551,3.553,3.750,3.755,-1.16,-1.25,1.15,20.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\52_D10.d" ,"9" ,7.104,7.296,7.505,19.38,283.81,100.00,57.40,41.24,0.401,0.301,-0.47,16.49,7.025,7.034,7.505,7.509,-0.47,16.49,1.73,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d"," DAD1 - B:Sig=260,4  Ref=360,60 53_D11.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"1" ,0.360,0.379,0.392,23.00,26.29,9.05,63.46,3.94,0.032,0.034,-1.05,-32.62,0.353,0.354,0.394,0.395,-1.05,-32.62,0.36,3.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"2" ,0.409,0.428,0.479,11.06,27.39,9.43,30.51,4.10,0.071,0.039,-0.34,2.18,0.394,0.395,0.466,0.486,-0.34,-0.34,3.20,10.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"3" ,0.479,0.509,0.561,11.46,28.06,9.66,31.64,4.20,0.081,0.035,2.18,1.00,0.466,0.486,0.553,0.566,-0.34,-0.34,1.34,11.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"4" ,0.561,0.576,0.590,3.20,4.27,1.47,8.83,0.64,0.029,0.028,1.00,1.73,0.553,0.566,0.583,0.592,-0.34,-0.34,0.71,2.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"5" ,0.590,0.607,0.665,36.24,52.34,18.01,100.00,7.84,0.075,0.020,1.73,0.24,0.583,0.592,0.742,0.746,-0.15,-0.10,2.89,36.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"6" ,1.164,1.218,1.323,14.89,46.43,15.98,41.09,6.95,0.159,0.048,-0.35,-0.21,1.157,1.161,1.321,1.325,-0.35,-0.21,1.62,14.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"7" ,3.175,3.303,3.499,17.96,111.71,38.44,49.55,16.73,0.324,0.096,-1.07,-1.00,3.170,3.176,3.496,3.502,-1.07,-1.00,1.23,16.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"8" ,3.507,3.599,3.702,17.36,80.43,27.68,47.90,12.05,0.195,0.073,-0.96,-1.18,3.496,3.502,3.719,3.725,-0.96,-1.18,1.10,16.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\53_D11.d" ,"9" ,7.082,7.291,7.505,19.84,290.62,100.00,54.76,43.54,0.423,0.302,-1.92,16.44,7.045,7.047,7.505,7.509,-1.92,16.44,1.80,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d"," DAD1 - B:Sig=260,4  Ref=360,60 54_D12.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"1" ,0.362,0.379,0.392,23.03,25.32,8.92,51.87,3.52,0.030,0.032,-0.88,-34.40,0.354,0.355,0.394,0.394,-0.88,-34.40,0.37,3.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"2" ,0.408,0.425,0.478,12.71,32.07,11.30,28.63,4.46,0.070,0.040,-0.38,2.85,0.394,0.394,0.465,0.485,-0.38,-0.38,3.49,12.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"3" ,0.478,0.505,0.561,11.47,26.43,9.31,25.84,3.68,0.083,0.032,2.85,0.66,0.465,0.485,0.552,0.566,-0.38,-0.38,1.30,11.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"4" ,0.561,0.577,0.590,2.67,3.52,1.24,6.01,0.49,0.029,0.026,0.66,1.39,0.552,0.566,0.583,0.592,-0.38,-0.38,0.61,2.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"5" ,0.590,0.607,0.680,44.39,65.04,22.91,100.00,9.05,0.090,0.020,1.39,0.57,0.583,0.592,0.724,0.758,-0.09,0.00,3.00,44.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"6" ,1.161,1.218,1.323,17.79,55.27,19.47,40.08,7.69,0.162,0.048,-0.33,-0.14,1.149,1.161,1.321,1.326,-0.33,-0.14,1.58,17.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"7" ,3.181,3.300,3.463,21.52,130.95,46.13,48.47,18.23,0.282,0.095,-0.99,-0.59,3.167,3.172,3.496,3.500,-0.99,-0.59,1.25,20.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"8" ,3.505,3.596,3.702,20.73,95.89,33.78,46.69,13.35,0.197,0.073,-0.86,-1.10,3.496,3.500,3.719,3.723,-0.86,-1.10,1.11,19.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\54_D12.d" ,"9" ,7.103,7.289,7.505,19.66,283.89,100.00,44.29,39.52,0.402,0.302,-0.54,16.53,7.029,7.031,7.505,7.509,-0.54,16.53,1.87,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d"," DAD1 - B:Sig=260,4  Ref=360,60 55_E1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"1" ,0.361,0.379,0.392,22.16,24.86,8.73,54.42,3.58,0.031,0.033,-0.97,-31.69,0.354,0.355,0.394,0.395,-0.97,-31.69,0.37,3.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"2" ,0.408,0.426,0.481,12.01,30.47,10.70,29.49,4.38,0.073,0.040,-0.36,2.56,0.394,0.395,0.466,0.486,-0.36,-0.36,3.59,11.65,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"3" ,0.481,0.508,0.560,11.21,26.34,9.26,27.53,3.79,0.079,0.034,2.56,0.83,0.466,0.486,0.553,0.566,-0.36,-0.36,1.39,10.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"4" ,0.560,0.576,0.590,2.94,4.00,1.41,7.22,0.58,0.030,0.027,0.83,1.54,0.553,0.566,0.583,0.592,-0.36,-0.36,0.67,2.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"5" ,0.590,0.607,0.677,40.72,60.46,21.24,100.00,8.70,0.087,0.020,1.54,0.53,0.583,0.592,0.742,0.745,-0.16,-0.10,3.01,40.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"6" ,1.166,1.219,1.320,16.31,51.32,18.03,40.06,7.38,0.153,0.049,-0.32,-0.18,1.159,1.163,1.316,1.324,-0.32,-0.18,1.59,16.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"7" ,3.178,3.302,3.502,19.93,123.74,43.47,48.94,17.80,0.324,0.095,-1.05,-0.96,3.167,3.171,3.501,3.503,-1.08,-0.96,1.25,18.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"8" ,3.510,3.598,3.711,19.18,89.39,31.41,47.10,12.86,0.201,0.073,-0.87,-1.27,3.501,3.503,3.719,3.722,-0.87,-1.27,1.12,18.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\55_E1.d" ,"9" ,7.103,7.291,7.505,19.62,284.64,100.00,48.17,40.94,0.403,0.302,-0.59,16.45,7.029,7.031,7.505,7.509,-0.59,16.45,1.83,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d"," DAD1 - B:Sig=260,4  Ref=360,60 56_E2.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"1" ,0.361,0.379,0.392,23.26,26.21,9.22,58.16,3.82,0.031,0.033,-0.86,-33.99,0.353,0.355,0.394,0.394,-0.86,-33.99,0.37,3.60,,,  ,,,,,,,,,,,,
